,country,sex,Average_suicides_per_capita
0,Albania,female,2.4165151515151515
1,Albania,male,4.589242424242425
2,Antigua and Barbuda,female,0.09641975308641974
3,Antigua and Barbuda,male,1.0093827160493827
4,Argentina,female,3.7959677419354843
5,Argentina,male,17.14268817204301
6,Armenia,female,1.603893333333333
7,Armenia,male,4.958253333333333
8,Aruba,female,3.289880952380952
9,Aruba,male,15.716309523809525
10,Australia,female,5.314444444444446
11,Australia,male,20.671166666666668
12,Austria,female,10.308177083333334
13,Austria,male,37.15471875
14,Azerbaijan,female,1.0244791666666666
15,Azerbaijan,male,2.686354166666667
16,Bahamas,female,0.3596376811594203
17,Bahamas,male,2.1351449275362326
18,Bahrain,female,0.8717460317460315
19,Bahrain,male,2.836507936507936
20,Barbados,female,0.9349333333333335
21,Barbados,male,5.005933333333333
22,Belarus,female,9.394206349206348
23,Belarus,male,52.75761904761904
24,Belgium,female,10.41720430107527
25,Belgium,male,32.05860215053764
26,Belize,female,1.4576190476190478
27,Belize,male,11.003630952380957
28,Bosnia and Herzegovina,female,1.835
29,Bosnia and Herzegovina,male,7.399166666666667
30,Brazil,female,2.122795698924731
31,Brazil,male,9.56924731182796
32,Bulgaria,female,9.750888888888886
33,Bulgaria,male,29.227333333333327
34,Cabo Verde,female,2.6533333333333333
35,Cabo Verde,male,19.653333333333332
36,Canada,female,5.113160919540232
37,Canada,male,19.82201149425288
38,Chile,female,2.855215053763441
39,Chile,male,18.228870967741937
40,Colombia,female,1.7891397849462363
41,Colombia,male,9.014032258064514
42,Costa Rica,female,1.7228333333333332
43,Costa Rica,male,12.464499999999997
44,Croatia,female,9.730863636363635
45,Croatia,male,35.91725757575758
46,Cuba,female,10.351319444444448
47,Cuba,male,32.092777777777776
48,Cyprus,female,1.1533555555555557
49,Cyprus,male,5.465422222222221
50,Czech Republic,female,7.079901234567901
51,Czech Republic,male,29.86665432098766
52,Denmark,female,7.160530303030302
53,Denmark,male,21.033787878787884
54,Dominica,female,0.0
55,Dominica,male,0.0
56,Ecuador,female,3.328279569892473
57,Ecuador,male,9.280376344086024
58,El Salvador,female,4.730138888888889
59,El Salvador,male,16.352777777777785
60,Estonia,female,9.496825396825399
61,Estonia,male,45.05698412698413
62,Fiji,female,2.712272727272727
63,Fiji,male,7.497727272727272
64,Finland,female,9.095287356321839
65,Finland,male,36.44557471264368
66,France,female,9.85066666666667
67,France,male,33.50072222222222
68,Georgia,female,1.6240151515151517
69,Georgia,male,6.833409090909091
70,Germany,female,7.322948717948719
71,Germany,male,23.796858974358983
72,Greece,female,1.5452150537634417
73,Greece,male,6.5844623655914
74,Grenada,female,0.5609615384615385
75,Grenada,male,3.676217948717949
76,Guatemala,female,1.1137222222222223
77,Guatemala,male,5.256833333333334
78,Guyana,female,9.474400000000001
79,Guyana,male,34.89840000000001
80,Hungary,female,14.078692307692307
81,Hungary,male,51.33373076923077
82,Iceland,female,5.910187499999999
83,Iceland,male,19.701031250000003
84,Ireland,female,4.075722222222223
85,Ireland,male,17.489444444444448
86,Israel,female,4.338279569892474
87,Israel,male,13.56478494623656
88,Italy,female,3.5014516129032254
89,Italy,male,13.535483870967743
90,Jamaica,female,0.14754901960784314
91,Jamaica,male,0.8959803921568628
92,Japan,female,13.692688172043011
93,Japan,male,29.453709677419358
94,Kazakhstan,female,11.00852564102564
95,Kazakhstan,male,50.01403846153846
96,Kiribati,female,2.4540909090909087
97,Kiribati,male,10.856666666666666
98,Kuwait,female,1.0304
99,Kuwait,male,1.3424666666666667
100,Kyrgyzstan,female,5.9501923076923084
101,Kyrgyzstan,male,22.622243589743583
102,Latvia,female,9.742777777777777
103,Latvia,male,48.77587301587302
104,Lithuania,female,12.84421212121212
105,Lithuania,male,67.92263636363637
106,Luxembourg,female,7.8261290322580646
107,Luxembourg,male,25.273655913978498
108,Macau,female,12.796666666666667
109,Macau,male,15.826666666666666
110,Maldives,female,1.9905000000000002
111,Maldives,male,0.7441666666666668
112,Malta,female,1.7388709677419358
113,Malta,male,8.325698924731181
114,Mauritius,female,5.856666666666668
115,Mauritius,male,17.499791666666667
116,Mexico,female,1.2425268817204302
117,Mexico,male,8.172473118279568
118,Mongolia,female,5.636000000000001
119,Mongolia,male,31.242
120,Montenegro,female,5.625666666666667
121,Montenegro,male,14.274833333333333
122,Netherlands,female,6.4695625
123,Netherlands,male,14.842927083333333
124,New Zealand,female,6.174540229885059
125,New Zealand,male,22.608908045977017
126,Nicaragua,female,2.5455555555555556
127,Nicaragua,male,10.588333333333333
128,Norway,female,6.534277777777777
129,Norway,male,19.347722222222224
130,Oman,female,0.0
131,Oman,male,1.4722222222222223
132,Panama,female,1.622066666666667
133,Panama,male,10.004999999999999
134,Paraguay,female,2.1435185185185186
135,Paraguay,male,6.290864197530864
136,Philippines,female,1.0936666666666668
137,Philippines,male,3.7488888888888883
138,Poland,female,4.3097916666666665
139,Poland,male,26.229236111111117
140,Portugal,female,4.456975308641976
141,Portugal,male,18.21808641975309
142,Puerto Rico,female,1.8480107526881715
143,Puerto Rico,male,18.524462365591397
144,Qatar,female,0.6658444444444443
145,Qatar,male,2.905666666666667
146,Republic of Korea,female,14.81252688172043
147,Republic of Korea,male,35.45870967741936
148,Romania,female,4.42075
149,Romania,male,20.548392857142858
150,Russian Federation,female,11.60104938271605
151,Russian Federation,male,58.183703703703706
152,Saint Kitts and Nevis,female,0.0
153,Saint Kitts and Nevis,male,0.0
154,Saint Lucia,female,2.4179166666666663
155,Saint Lucia,male,11.987559523809525
156,Saint Vincent and Grenadines,female,0.718
157,Saint Vincent and Grenadines,male,10.792866666666663
158,San Marino,female,0.0
159,San Marino,male,8.09
160,Serbia,female,10.815555555555559
161,Serbia,male,33.512685185185184
162,Seychelles,female,0.9874999999999999
163,Seychelles,male,13.97268518518519
164,Singapore,female,12.669354838709678
165,Singapore,male,21.42193548387097
166,Slovakia,female,3.4187878787878785
167,Slovakia,male,21.71878787878788
168,Slovenia,female,10.481507936507935
169,Slovenia,male,45.17420634920636
170,South Africa,female,0.40075000000000005
171,South Africa,male,1.5283333333333335
172,Spain,female,3.9516666666666675
173,Spain,male,14.914247311827959
174,Sri Lanka,female,15.498636363636365
175,Sri Lanka,male,55.09166666666667
176,Suriname,female,10.476964285714287
177,Suriname,male,32.15589285714285
178,Sweden,female,8.013688888888888
179,Sweden,male,21.294577777777775
180,Switzerland,female,9.81190476190476
181,Switzerland,male,28.23626984126983
182,Thailand,female,3.458380952380952
183,Thailand,male,10.697178571428571
184,Trinidad and Tobago,female,5.249320987654321
185,Trinidad and Tobago,male,22.40197530864198
186,Turkey,female,1.1533333333333335
187,Turkey,male,3.588809523809524
188,Turkmenistan,female,4.684080459770115
189,Turkmenistan,male,12.527011494252875
190,Ukraine,female,8.911249999999999
191,Ukraine,male,44.253392857142856
192,United Arab Emirates,female,0.9669444444444445
193,United Arab Emirates,male,1.6688888888888889
194,United Kingdom,female,3.4021505376344083
195,United Kingdom,male,11.602795698924735
196,United States,female,4.676397849462365
197,United States,male,22.963225806451614
198,Uruguay,female,6.513333333333333
199,Uruguay,male,32.40904761904762
200,Uzbekistan,female,4.336212121212122
201,Uzbekistan,male,11.862045454545456
